customer_id,segment,segment_strategy,churn_probability,churn_strategy
BK-11260,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
BM-11140,At Risk,🚨 Immediate re-engagement – high churn risk,0.98,🚨 High churn risk – send personalized retention offer
BM-11575,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
BM-11650,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
BM-11785,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.98,🚨 High churn risk – send personalized retention offer
BN-11470,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BN-11515,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
BO-11350,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
BO-11425,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.03,✅ Low churn risk – maintain engagement
BP-11050,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BP-11095,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
BP-11155,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BP-11185,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
BP-11230,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BP-11290,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BS-11365,At Risk,🚨 Immediate re-engagement – high churn risk,0.99,🚨 High churn risk – send personalized retention offer
BS-11380,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BS-11590,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BS-11665,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
BS-11755,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BS-11800,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
BT-11305,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
BT-11395,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.96,🚨 High churn risk – send personalized retention offer
BT-11440,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.98,🚨 High churn risk – send personalized retention offer
BT-11485,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
BT-11530,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
BT-11680,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BV-11245,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
BW-11065,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
BW-11110,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
BW-11200,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
CA-11965,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CA-12055,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
CA-12265,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CA-12310,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CA-12775,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CB-12025,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CB-12415,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CB-12535,Low Value,💰 High potential – low frequency but high order value,1.0,🚨 High churn risk – send personalized retention offer
CC-12100,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
CC-12145,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CC-12220,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CC-12370,At Risk,🚨 Immediate re-engagement – high churn risk,0.05,✅ Low churn risk – maintain engagement
CC-12430,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CC-12475,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CC-12550,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
CC-12610,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CC-12670,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CC-12685,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
CD-11920,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CD-11980,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CD-12280,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CD-12790,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
CG-12040,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CG-12520,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
CH-12070,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
CJ-11875,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
CJ-12010,Low Value,💰 High potential – low frequency but high order value,1.0,🚨 High churn risk – send personalized retention offer
CK-12205,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CK-12325,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CK-12595,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CK-12760,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
CL-11890,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CL-12565,Low Value,💰 High potential – low frequency but high order value,1.0,🚨 High churn risk – send personalized retention offer
CL-12700,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CM-11815,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
CM-11935,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
CM-12115,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CM-12160,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CM-12190,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CM-12235,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
CM-12385,At Risk,🚨 Immediate re-engagement – high churn risk,0.03,✅ Low churn risk – maintain engagement
CM-12445,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.97,🚨 High churn risk – send personalized retention offer
CM-12655,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
CM-12715,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
CP-12085,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CP-12340,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CR-12580,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CR-12625,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
CR-12730,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CR-12820,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
CS-11845,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CS-11860,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
CS-11950,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CS-12130,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
CS-12175,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.95,🚨 High churn risk – send personalized retention offer
CS-12250,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CS-12355,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
CS-12400,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CS-12460,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
CS-12490,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
CS-12505,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CT-11995,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CV-12295,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
CV-12805,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CW-11905,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
CY-12745,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
Co-12640,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
DA-13450,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.96,🚨 High churn risk – send personalized retention offer
DB-12910,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DB-12970,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
DB-13060,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
DB-13120,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DB-13210,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DB-13270,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
DB-13360,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
DB-13405,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.97,🚨 High churn risk – send personalized retention offer
DB-13555,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DB-13615,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DB-13660,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DC-12850,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DC-13285,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
DD-13570,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.03,✅ Low churn risk – maintain engagement
DE-13255,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
DF-13135,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
DG-13300,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DH-13075,Low Value,💰 High potential – low frequency but high order value,0.99,🚨 High churn risk – send personalized retention offer
DH-13675,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
DJ-13420,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
DJ-13510,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DJ-13630,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DK-12835,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
DK-12895,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
DK-12985,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DK-13090,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
DK-13150,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DK-13225,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
DK-13375,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DL-12865,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DL-12925,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DL-13315,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DL-13330,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DL-13495,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DM-12955,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DM-13015,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
DM-13345,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
DM-13525,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
DN-13690,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.98,🚨 High churn risk – send personalized retention offer
DO-13435,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DO-13645,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DP-13000,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DP-13105,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DP-13165,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
DP-13390,Low Value,💰 High potential – low frequency but high order value,0.99,🚨 High churn risk – send personalized retention offer
DR-12880,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
DR-12940,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
DS-13030,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
DS-13180,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DV-13045,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DV-13465,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DW-13195,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DW-13480,Low Value,💰 High potential – low frequency but high order value,1.0,🚨 High churn risk – send personalized retention offer
DW-13540,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
DW-13585,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
Dl-13600,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
Dp-13240,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
EA-14035,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
EB-13705,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
EB-13750,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
EB-13840,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
EB-13870,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
EB-13930,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.03,✅ Low churn risk – maintain engagement
EB-13975,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EB-14110,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
EB-14170,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
EC-14050,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.03,✅ Low churn risk – maintain engagement
ED-13885,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
